Age,Salary,Approved
21,22000,0
22,24000,0
23,26000,0
24,28000,0
25,30000,0
26,32000,0
27,34000,0
28,36000,0
29,38000,0
30,40000,1
31,42000,1
32,44000,1
33,46000,1
34,48000,1
35,50000,1
36,52000,1
37,54000,1
38,56000,1
39,58000,1
40,60000,1
41,62000,1
42,64000,1
43,66000,1
44,68000,1
45,70000,1
23,29000,0
24,31000,0
25,33000,0
26,35000,0
27,37000,0
28,39000,0
29,41000,1
30,43000,1
31,45000,1
32,47000,1
33,49000,1
34,51000,1
35,53000,1
36,55000,1
37,57000,1
38,59000,1
39,61000,1
40,63000,1
41,65000,1
42,67000,1
43,69000,1
44,71000,1
45,73000,1
46,75000,1
47,78000,1
